# This file was produced by bcftools (1.2+htslib-1.2), the command line was:
# 	 bcftools gtcheck  -H test.vcf.gz
# and the working directory was:
# 	 /Users/dancook/coding/git/vcf-toolbox
#
# [1]SM	[2]Average Discordance	[3]Average depth	[4]Average number of sites	[5]Sample	[6]Sample ID
CN	0	98	39.95	ED3048	CB4855_UK
CN	0	69	53.22	ED3048	CB4856
CN	0	105	44.97	ED3048	CB4857
CN	0	1	24.00	ED3048	CB4858_UK
CN	0	29	57.38	ED3048	CB4932
CN	0	62	36.29	ED3048	CX11254
CN	0	76	30.03	ED3048	CX11262
CN	0	79	51.44	ED3048	CX11264
CN	0	85	43.21	ED3048	CX11271
CN	0	57	37.61	ED3048	CX11276
CN	0	117	51.26	ED3048	CX11285
CN	0	118	49.51	ED3048	CX11292
CN	0	62	45.89	ED3048	CX11307
CN	0	89	37.18	ED3048	CX11314
CN	0	50	38.44	ED3048	CX11315
CN	0	55	27.84	ED3048	DL200
CN	0	94	49.83	ED3048	DL226
CN	0	72	47.19	ED3048	DL238
CN	0	107	50.62	ED3048	ED3005
CN	0	85	32.84	ED3048	ED3011
CN	0	28	40.39	ED3048	ED3012
CN	0	55	59.31	ED3048	ED3017
CN	0	90	53.92	ED3048	ED3040
CN	0	114	51.28	ED3048	ED3046
CN	0	100	73.82	ED3049	AB1
CN	0	130	102.48	ED3049	AB4
CN	0	27	84.96	ED3049	CB4851_CGC
CN	0	83	103.05	ED3049	CB4852
CN	0	130	95.61	ED3049	CB4853
CN	0	83	49.65	ED3049	CB4854
CN	0	125	40.59	ED3049	CB4855_UK
CN	0	106	102.38	ED3049	CB4856
CN	0	124	47.54	ED3049	CB4857
CN	0	1	24.00	ED3049	CB4858_UK
CN	0	62	82.13	ED3049	CB4932
CN	0	78	34.13	ED3049	CX11254
CN	0	91	30.51	ED3049	CX11262
CN	0	116	87.17	ED3049	CX11264
CN	0	109	44.76	ED3049	CX11271
CN	25	84	36.31	ED3049	CX11276
CN	0	139	93.92	ED3049	CX11285
CN	0	119	64.24	ED3049	CX11292
CN	0	85	49.45	ED3049	CX11307
CN	0	108	37.17	ED3049	CX11314
CN	0	71	37.15	ED3049	CX11315
